input_state,input_size,bubble_sort,binary_insertion_sort,insertion_sort,heap_sort,radix_sort,selection_sort,flash_sort,shell_sort,merge_sort,counting_sort,shaker_sort
random,1000,0.009990263,0.006548385,0.004409857,0.003028084,0.006350266,0.005136568,0.005364279,0.006254994,0.003597468,0.00584778,0.009601715
random,30000,5.833673381,0.569337601,0.754313578,0.002067494,0.035187806,1.328080112,0.302617082,0.028415637,0.027650801,0.05583509,4.665281927
random,10000,0.622612073,0.070606012,0.089471152,0.002552742,0.014554985,0.160022779,0.041228228,0.012674829,0.009233705,0.020594955,0.49061479
reversed,1000,0.010754449,0.005919717,0.004483517,0.00323874,0.005333076,0.004389588,0.005481316,0.005352106,0.003648632,0.006238985,0.011506748
sorted,3000,0.016708195,0.006771132,0.004728089,0.002394666,0.00852227,0.017690492,0.008152785,0.006985341,0.004725361,0.008048973,0.007962078
reversed,3000,0.06737146,0.019071976,0.020112488,0.003897977,0.007286438,0.016956124,0.009807207,0.00575474,0.003823144,0.009650457,0.064860195
random,100000,60.704888954,4.80752473,6.831647769,0.002128826,0.086012572,14.639146669,3.006370076,0.087437515,0.080938394,0.20586405,46.719254337
sorted,30000,1.306426477,0.023937969,0.018617539,0.002642249,0.038741392,1.455984011,0.275426925,0.022202706,0.027967413,0.057406387,0.022226821
sorted,1000,0.004508223,0.005531216,0.003367277,0.002964841,0.005551434,0.005220598,0.005451634,0.004866631,0.003300893,0.006475105,0.0048606
reversed,100000,64.32808506,11.499991413,16.215834051,0.003278057,0.105381121,14.187005227,3.544935787,0.062879237,0.06921122,0.166674504,62.919763013
reversed,30000,5.690611236,1.085124791,1.558321819,0.002994864,0.036864183,1.330903173,0.362140538,0.024220838,0.028081515,0.050901206,5.809548497
random,3000,0.057173053,0.011753999,0.011476864,0.002689017,0.007813058,0.01796569,0.009255046,0.006808395,0.00434614,0.009175219,0.050596695
sorted,100000,15.427926968,0.080620678,0.068346683,0.002454584,0.175735052,14.839588081,2.460255821,0.06517504,0.066345274,0.174588112,0.06014236
sorted,10000,0.15559753,0.017802028,0.008696598,0.00351656,0.015750104,0.157270092,0.039881436,0.010342879,0.009899488,0.018632577,0.009700124
reversed,10000,0.650615344,0.129581241,0.171810187,0.002511259,0.014571021,0.150977681,0.049388796,0.010427067,0.011581051,0.020318285,0.719269531
